avaliacao,sa1,sa2
0,33833,33833
1,33859,33894
2,33859,33894
3,33920,33894
4,33920,33914
5,33920,33914
6,33920,33914
7,33920,33914
8,33920,34084
9,33920,34084
10,33920,34084
11,33920,34084
12,33920,34168
13,33920,34168
14,33920,34190
15,33920,34190
16,33920,34305
17,34033,34305
18,34033,34305
19,34033,34361
20,34033,34478
21,34033,34478
22,34033,34478
23,34033,34478
24,34033,34489
25,34033,34489
26,34033,34685
27,34033,34685
28,34033,34877
29,34033,34877
30,34033,34877
31,34033,34877
32,34033,34877
33,34033,34877
34,34033,34877
35,34033,34877
36,34033,34959
37,34033,34959
38,34069,34959
39,34069,34959
40,34203,34959
41,34203,34959
42,34203,34959
43,34203,34959
44,34203,34959
45,34203,34959
46,34203,34959
47,34203,34959
48,34242,34959
49,34242,34959
50,34372,34959
51,34372,34983
52,34372,34983
53,34372,34983
54,34556,34983
55,34619,35167
56,34619,35167
57,34619,35167
58,34619,35167
59,34619,35167
60,34663,35167
61,34810,35167
62,34810,35174
63,34859,35174
64,34899,35218
65,34899,35394
66,34973,35394
67,35147,35394
68,35147,35394
69,35147,35394
70,35196,35394
71,35314,35394
72,35314,35441
73,35331,35557
74,35385,35557
75,35398,35557
76,35398,35557
77,35399,35557
78,35399,35557
79,35432,35557
80,35432,35625
81,35432,35768
82,35432,35768
83,35432,35768
84,35432,35768
85,35432,35768
86,35432,35768
87,35519,35768
88,35519,35768
89,35532,35850
90,35687,36060
91,35687,36264
92,35693,36264
93,35693,36264
94,35693,36264
95,35693,36368
96,35693,36368
97,35693,36394
98,35693,36394
99,35693,36399
100,35693,36399
101,35693,36399
102,35693,36399
103,35693,36459
104,35698,36527
105,35859,36527
106,36030,36561
107,36030,36561
108,36030,36601
109,36173,36601
110,36191,36601
111,36191,36601
112,36275,36757
113,36298,36757
114,36430,36894
115,36546,36980
116,36567,36980
117,36741,37024
118,36741,37151
119,36741,37210
120,36751,37406
121,36751,37406
122,36794,37424
123,36794,37452
124,36928,37655
125,36928,37692
126,36928,37709
127,36928,37709
128,36928,37720
129,36928,37720
130,36928,37720
131,36980,37720
132,37155,37720
133,37155,37720
134,37165,37720
135,37225,37804
136,37275,37804
137,37275,37804
138,37275,37826
139,37275,37826
140,37275,37826
141,37275,37826
142,37275,37826
143,37275,37826
144,37275,37830
145,37275,37894
146,37275,37894
147,37275,37894
148,37275,37894
149,37275,37894
150,37341,37894
151,37341,37894
152,37469,37894
153,37538,37894
154,37538,37894
155,37538,37945
156,37538,37945
157,37721,37945
158,37721,37945
159,37729,37945
160,37729,37945
161,37850,38100
162,37850,38100
163,37878,38100
164,37976,38138
165,37976,38209
166,38149,38304
167,38149,38451
168,38254,38451
169,38336,38451
170,38346,38451
171,38346,38451
172,38428,38474
173,38453,38523
174,38453,38523
175,38453,38523
176,38469,38523
177,38469,38523
178,38469,38642
179,38469,38717
180,38480,38717
181,38480,38717
182,38480,38717
183,38480,38717
184,38480,38787
185,38497,38873
186,38497,38873
187,38497,38873
188,38497,38873
189,38497,38873
190,38497,38873
191,38497,38948
192,38497,38948
193,38497,38948
194,38497,38948
195,38497,39118
196,38659,39118
197,38659,39118
198,38659,39296
199,38659,39318
200,38659,39318
201,38659,39358
202,38719,39464
203,38719,39510
204,38719,39747
205,38728,39811
206,38728,39811
207,38728,39811
208,38728,39811
209,38728,39811
210,38754,39811
211,38762,39811
212,38850,39811
213,38893,39811
214,38893,39811
215,38893,39811
216,38910,39811
217,38910,39811
218,38910,39811
219,38985,39811
220,38985,39811
221,38985,39811
222,38985,39811
223,38985,39811
224,38985,39811
225,38985,39811
226,38985,39811
227,38985,39811
228,38985,39811
229,38985,39811
230,38985,39811
231,38985,39846
232,38985,39956
233,38985,40093
234,38985,40093
235,38985,40108
236,38985,40108
237,38985,40108
238,38985,40108
239,38985,40122
240,38985,40122
241,38985,40163
242,38985,40163
243,39034,40163
244,39157,40163
245,39157,40163
246,39257,40198
247,39404,40308
248,39404,40464
249,39404,40464
250,39408,40464
251,39408,40464
252,39408,40464
253,39577,40464
254,39725,40560
255,39744,40560
256,39744,40719
257,39744,40830
258,39744,40830
259,39744,40830
260,39832,40975
261,39832,40975
262,39848,40975
263,39885,40975
264,39885,40975
265,40058,40975
266,40058,40975
267,40058,40975
268,40058,40975
269,40058,40975
270,40058,40975
271,40058,41041
272,40058,41244
273,40058,41250
274,40058,41250
275,40058,41250
276,40058,41250
277,40058,41250
278,40058,41392
279,40058,41392
280,40058,41392
281,40163,41392
282,40163,41392
283,40294,41392
284,40294,41547
285,40294,41555
286,40294,41555
287,40436,41908
288,40436,41908
289,40436,41941
290,40455,41941
291,40637,41941
292,40637,41999
293,40637,41999
294,40637,41999
295,40770,41999
296,40788,41999
297,40788,41999
298,40788,42121
299,40788,42121
300,40788,42121
301,40788,42121
302,40788,42121
303,40788,42121
304,40788,42302
305,40788,42302
306,40790,42302
307,40790,42302
308,40848,42302
309,40848,42332
310,40913,42332
311,40942,42420
312,40985,42562
313,41059,42562
314,41180,42562
315,41203,42676
316,41212,42861
317,41212,42861
318,41338,42870
319,41338,42870
320,41350,42870
321,41350,42907
322,41464,42907
323,41467,42907
324,41467,42907
