avaliacao,sa1
0,33833
1,33894
2,33894
3,33894
4,33914
5,33914
6,33914
7,33914
8,34084
9,34084
10,34084
11,34084
12,34168
13,34168
14,34190
15,34190
16,34305
17,34305
18,34305
19,34361
20,34478
21,34478
22,34478
23,34478
24,34489
25,34489
26,34685
27,34685
28,34877
29,34877
30,34877
31,34877
32,34877
33,34877
34,34877
35,34877
36,34959
37,34959
38,34959
39,34959
40,34959
41,34959
42,34959
43,34959
44,34959
45,34959
46,34959
47,34959
48,34959
49,34959
50,34959
51,34983
52,34983
53,34983
54,34983
55,35167
56,35167
57,35167
58,35167
59,35167
60,35167
61,35167
62,35174
63,35174
64,35218
65,35394
66,35394
67,35394
68,35394
69,35394
70,35394
71,35394
72,35441
73,35557
74,35557
75,35557
76,35557
77,35557
78,35557
79,35557
80,35625
81,35768
82,35768
83,35768
84,35768
85,35768
86,35768
87,35768
88,35768
89,35850
90,36060
91,36264
92,36264
93,36264
94,36264
95,36368
96,36368
97,36394
98,36394
99,36399
100,36399
101,36399
102,36399
103,36459
104,36527
105,36527
106,36561
107,36561
108,36601
109,36601
110,36601
111,36601
112,36757
113,36757
114,36894
115,36980
116,36980
117,37024
118,37151
119,37210
120,37406
121,37406
122,37424
123,37452
124,37655
125,37692
126,37709
127,37709
128,37720
129,37720
130,37720
131,37720
132,37720
133,37720
134,37720
135,37804
136,37804
137,37804
138,37826
139,37826
140,37826
141,37826
142,37826
143,37826
144,37830
145,37894
146,37894
147,37894
148,37894
149,37894
150,37894
151,37894
152,37894
153,37894
154,37894
155,37945
156,37945
157,37945
158,37945
159,37945
160,37945
161,38100
162,38100
163,38100
164,38138
165,38209
166,38304
167,38451
168,38451
169,38451
170,38451
171,38451
172,38474
173,38523
174,38523
175,38523
176,38523
177,38523
178,38642
179,38717
180,38717
181,38717
182,38717
183,38717
184,38787
185,38873
186,38873
187,38873
188,38873
189,38873
190,38873
191,38948
192,38948
193,38948
194,38948
195,39118
196,39118
197,39118
198,39296
199,39318
200,39318
201,39358
202,39464
203,39510
204,39747
205,39811
206,39811
207,39811
208,39811
209,39811
210,39811
211,39811
212,39811
213,39811
214,39811
215,39811
216,39811
217,39811
218,39811
219,39811
220,39811
221,39811
222,39811
223,39811
224,39811
225,39811
226,39811
227,39811
228,39811
229,39811
230,39811
231,39846
232,39956
233,40093
234,40093
235,40108
236,40108
237,40108
238,40108
239,40122
240,40122
241,40163
242,40163
243,40163
244,40163
245,40163
246,40198
247,40308
248,40464
249,40464
250,40464
251,40464
252,40464
253,40464
254,40560
255,40560
256,40719
257,40830
258,40830
259,40830
260,40975
261,40975
262,40975
263,40975
264,40975
265,40975
266,40975
267,40975
268,40975
269,40975
270,40975
271,41041
272,41244
273,41250
274,41250
275,41250
276,41250
277,41250
278,41392
279,41392
280,41392
281,41392
282,41392
283,41392
284,41547
285,41555
286,41555
287,41908
288,41908
289,41941
290,41941
291,41941
292,41999
293,41999
294,41999
295,41999
296,41999
297,41999
298,42121
299,42121
300,42121
301,42121
302,42121
303,42121
304,42302
305,42302
306,42302
307,42302
308,42302
309,42332
310,42332
311,42420
312,42562
313,42562
314,42562
315,42676
316,42861
317,42861
318,42870
319,42870
320,42870
321,42907
322,42907
323,42907
324,42907
325,42907
326,42907
327,42907
328,42907
329,42962
330,42962
331,42962
332,42962
333,43056
334,43352
335,43352
336,43352
337,43352
338,43352
339,43352
340,43435
341,43518
342,43518
343,43518
344,43518
345,43518
346,43518
347,43518
348,43518
349,43555
350,43555
351,43555
352,43555
353,43555
354,43555
355,43555
356,43555
357,43555
358,43555
359,43555
360,43555
361,43555
362,43555
363,43555
364,43555
365,43555
366,43555
367,43830
368,43830
369,43830
370,43830
371,43830
372,43830
373,43830
374,43830
375,43830
376,43830
377,43830
378,43830
379,43830
380,43830
381,43830
382,43830
383,43830
384,43830
385,43830
386,43830
387,43830
388,43830
389,43830
390,43830
391,43830
392,43830
393,43830
394,43830
395,43830
396,43830
397,43830
398,43830
399,43830
400,43830
401,43830
402,43830
403,43830
404,43830
405,43830
406,43830
407,43830
408,43830
409,43830
410,43830
411,43830
412,43830
413,43830
414,43830
415,43830
416,43830
417,43830
418,43830
419,43830
420,43830
421,43830
422,43836
423,43836
424,44043
425,44043
426,44043
427,44043
428,44043
429,44043
430,44043
431,44043
432,44043
433,44043
434,44181
435,44181
436,44265
437,44265
438,44275
439,44275
440,44500
441,44500
442,44500
443,44500
444,44500
445,44577
446,44577
447,44583
448,44583
449,44583
450,44583
451,44583
452,44583
453,44583
454,44583
455,44583
456,44583
457,44583
458,44583
459,44631
460,44631
461,44643
462,44643
463,44643
464,44780
465,44842
466,44882
467,44882
468,44882
469,45076
470,45076
471,45076
472,45076
473,45076
474,45076
475,45076
476,45076
477,45076
478,45076
479,45076
480,45076
481,45076
482,45076
483,45076
484,45076
485,45076
486,45076
487,45076
488,45076
489,45076
490,45076
491,45090
492,45090
493,45095
494,45126
495,45126
496,45126
497,45126
498,45369
499,45369
500,45369
501,45369
502,45388
503,45388
504,45465
505,45465
506,45518
507,45518
508,45518
509,45518
510,45611
511,45655
512,45655
513,45655
514,45655
515,45655
516,45655
517,45655
518,45655
519,45655
520,45655
521,45655
522,45655
523,45746
524,45746
525,45746
526,45746
527,45746
528,45746
529,45746
530,45746
531,45804
532,45804
533,45804
534,45804
535,45804
536,45804
537,45804
538,45804
539,45991
540,45991
541,45991
542,46055
543,46055
544,46079
545,46079
546,46079
547,46079
548,46079
549,46079
550,46079
551,46079
552,46079
553,46079
554,46079
555,46079
556,46079
557,46079
558,46079
559,46079
560,46079
561,46120
562,46120
563,46133
564,46133
565,46133
566,46133
567,46133
568,46133
569,46133
570,46133
571,46198
572,46198
573,46198
574,46198
575,46393
576,46393
577,46393
578,46393
579,46393
580,46399
581,46399
582,46625
583,46625
584,46625
585,46625
586,46625
587,46625
588,46625
589,46625
590,46625
591,46625
592,46625
593,46625
594,46625
595,46625
596,46625
597,46625
598,46625
599,46625
600,46625
601,46625
602,46625
603,46625
604,46625
605,46625
606,46625
607,46625
608,46625
609,46625
610,46625
611,46625
612,46625
613,46625
614,46625
615,46625
616,46625
617,46625
618,46625
619,46625
620,46625
621,46760
622,46760
623,46760
624,46760
625,46760
626,46760
627,46760
628,46760
629,46760
630,46760
631,46760
632,46828
633,46828
634,46828
635,46828
636,46828
637,46863
638,46863
639,46863
640,46863
641,46863
642,46863
643,46863
644,46863
645,46863
646,46863
647,46863
648,46863
649,46863
650,46879
651,46879
652,46879
653,47043
654,47043
655,47043
656,47043
657,47043
658,47043
659,47043
660,47043
661,47043
662,47043
663,47043
664,47043
665,47043
666,47043
667,47043
668,47043
669,47043
670,47043
671,47043
672,47043
673,47043
674,47043
675,47043
676,47043
677,47043
678,47043
679,47043
680,47043
681,47043
682,47043
683,47043
684,47043
685,47043
686,47043
687,47043
688,47043
689,47043
690,47043
691,47043
692,47043
693,47043
694,47043
695,47043
696,47043
697,47043
698,47043
699,47043
700,47043
701,47043
702,47043
703,47043
704,47071
705,47071
706,47222
707,47222
708,47222
709,47222
710,47222
711,47222
712,47222
713,47222
714,47222
715,47222
716,47222
717,47222
718,47222
719,47222
720,47222
721,47222
722,47222
723,47222
724,47222
725,47222
726,47222
727,47222
728,47222
729,47222
730,47222
731,47222
732,47222
733,47222
734,47222
735,47222
736,47222
737,47222
738,47292
739,47330
740,47330
741,47330
742,47330
743,47330
744,47330
745,47330
746,47330
747,47472
748,47472
749,47472
750,47472
751,47472
752,47472
753,47472
754,47472
755,47472
756,47472
757,47526
758,47526
759,47526
760,47526
761,47526
762,47526
763,47526
764,47526
765,47526
766,47526
767,47623
768,47623
769,47623
770,47623
771,47623
772,47623
773,47623
774,47623
775,47623
776,47666
777,47666
778,47666
779,47666
780,47666
781,47666
782,47666
783,47666
784,47666
785,47666
786,47771
787,47771
788,47771
789,47771
790,47771
791,47771
792,47771
793,47771
794,47828
795,47828
796,47828
797,47879
798,47879
799,47879
800,47879
801,47954
802,47954
803,47954
804,47954
805,47954
806,47954
807,47954
808,47954
809,47954
810,47963
811,47963
812,47963
813,47963
814,47963
815,47963
816,48053
817,48053
818,48053
819,48056
820,48056
821,48056
822,48102
823,48102
824,48102
825,48102
826,48102
827,48102
828,48102
829,48102
830,48102
831,48102
832,48102
833,48174
834,48174
835,48188
836,48188
837,48313
838,48313
839,48313
840,48313
841,48313
842,48313
843,48313
844,48313
845,48313
846,48313
847,48380
848,48380
849,48380
850,48380
851,48380
852,48424
853,48424
854,48424
855,48424
856,48424
857,48424
858,48424
859,48424
860,48424
861,48424
862,48424
863,48424
864,48424
865,48424
866,48424
867,48424
868,48424
869,48424
870,48424
871,48424
872,48424
873,48526
874,48526
875,48565
876,48565
877,48565
878,48592
879,48592
880,48592
881,48592
882,48592
883,48727
884,48727
885,48727
886,48803
887,48803
888,48803
889,48803
890,48803
891,48803
892,48803
893,48803
894,48803
895,48803
896,48803
897,48904
898,48904
899,48904
900,48916
901,48916
902,48916
903,48925
904,49033
905,49033
906,49115
907,49202
908,49202
909,49202
910,49202
911,49202
912,49202
913,49202
914,49286
915,49286
916,49286
917,49286
918,49286
919,49286
920,49286
921,49286
922,49286
923,49310
924,49327
925,49327
926,49327
927,49327
928,49327
929,49327
930,49327
931,49327
932,49327
933,49327
934,49327
935,49327
936,49327
937,49327
938,49327
939,49327
940,49327
941,49327
942,49327
943,49327
944,49327
945,49327
946,49327
947,49327
948,49327
949,49327
950,49327
951,49327
952,49327
953,49327
954,49327
955,49327
956,49327
957,49327
958,49327
959,49327
960,49327
961,49327
962,49327
963,49327
964,49327
965,49327
966,49327
967,49327
968,49327
969,49327
970,49327
971,49327
972,49327
973,49327
974,49327
975,49327
976,49327
977,49327
978,49327
979,49327
980,49327
981,49327
982,49327
983,49327
984,49327
985,49327
986,49327
987,49327
988,49327
989,49327
990,49327
991,49327
992,49327
993,49327
994,49327
995,49327
996,49327
997,49327
998,49327
999,49327
1000,49327
1001,49327
1002,49327
1003,49327
1004,49327
1005,49327
1006,49327
1007,49327
1008,49327
1009,49327
1010,49327
1011,49327
1012,49327
1013,49327
1014,49327
1015,49327
1016,49327
1017,49327
1018,49327
1019,49327
1020,49327
1021,49327
1022,49327
1023,49327
1024,49327
1025,49327
1026,49327
1027,49327
1028,49327
1029,49327
1030,49327
1031,49327
1032,49327
1033,49327
1034,49327
1035,49327
1036,49327
1037,49327
1038,49327
1039,49327
1040,49327
1041,49327
1042,49327
1043,49327
1044,49327
1045,49327
1046,49327
1047,49327
1048,49327
1049,49327
1050,49327
1051,49327
1052,49327
1053,49327
1054,49327
1055,49327
1056,49327
1057,49327
1058,49327
1059,49327
1060,49327
1061,49327
1062,49327
1063,49327
1064,49327
1065,49327
1066,49327
1067,49327
1068,49327
1069,49327
1070,49327
1071,49327
1072,49327
1073,49327
1074,49327
1075,49327
1076,49327
1077,49327
1078,49327
1079,49327
1080,49327
1081,49327
1082,49327
1083,49327
1084,49327
1085,49327
1086,49327
1087,49327
1088,49327
1089,49327
1090,49327
1091,49327
1092,49327
1093,49327
1094,49327
1095,49327
1096,49327
1097,49336
1098,49336
1099,49336
1100,49336
1101,49336
1102,49336
1103,49336
1104,49336
1105,49336
1106,49336
1107,49336
1108,49336
1109,49336
1110,49336
1111,49336
1112,49336
1113,49336
1114,49336
1115,49336
1116,49336
1117,49336
1118,49336
1119,49336
1120,49336
1121,49336
1122,49336
1123,49336
1124,49336
1125,49336
1126,49336
1127,49336
1128,49336
1129,49336
1130,49336
1131,49336
1132,49336
1133,49336
1134,49336
1135,49336
1136,49336
1137,49336
1138,49336
1139,49381
1140,49381
1141,49381
1142,49381
1143,49381
1144,49381
1145,49381
1146,49381
1147,49381
1148,49381
1149,49381
1150,49381
1151,49381
1152,49381
1153,49381
1154,49381
1155,49381
1156,49381
1157,49381
1158,49381
1159,49381
1160,49381
1161,49381
1162,49381
1163,49381
1164,49381
1165,49381
1166,49381
1167,49381
1168,49381
1169,49381
1170,49381
1171,49381
1172,49381
1173,49381
1174,49381
1175,49381
1176,49381
1177,49381
1178,49381
1179,49381
1180,49381
1181,49381
1182,49381
1183,49381
1184,49381
1185,49381
1186,49381
1187,49381
1188,49381
1189,49381
1190,49381
1191,49381
1192,49381
1193,49381
1194,49381
1195,49381
1196,49381
1197,49381
1198,49381
1199,49381
1200,49381
1201,49381
1202,49381
1203,49381
1204,49381
1205,49381
1206,49381
1207,49381
1208,49381
1209,49381
1210,49381
1211,49381
1212,49381
1213,49381
1214,49381
1215,49381
1216,49381
1217,49381
1218,49381
1219,49381
1220,49381
1221,49381
1222,49381
1223,49381
1224,49381
1225,49381
1226,49381
1227,49381
1228,49381
1229,49381
1230,49381
1231,49381
1232,49381
1233,49381
1234,49400
1235,49400
1236,49400
1237,49400
1238,49400
1239,49400
1240,49400
1241,49400
1242,49400
1243,49400
1244,49400
1245,49400
1246,49400
1247,49400
1248,49400
1249,49400
1250,49400
1251,49400
1252,49400
1253,49400
1254,49400
1255,49400
1256,49400
1257,49400
1258,49400
1259,49400
1260,49400
1261,49400
1262,49400
1263,49400
1264,49400
1265,49400
1266,49400
1267,49400
1268,49400
1269,49400
1270,49400
1271,49400
1272,49400
1273,49400
1274,49400
1275,49400
1276,49400
1277,49400
1278,49400
1279,49400
1280,49400
1281,49400
1282,49400
1283,49400
1284,49400
1285,49400
1286,49400
1287,49400
1288,49400
1289,49400
1290,49400
1291,49400
1292,49400
1293,49400
1294,49400
1295,49400
1296,49400
1297,49400
1298,49400
1299,49400
1300,49400
1301,49400
1302,49400
1303,49400
1304,49400
1305,49400
1306,49400
1307,49400
1308,49400
1309,49400
1310,49400
1311,49400
1312,49400
1313,49400
1314,49400
1315,49400
1316,49400
1317,49400
1318,49400
1319,49400
1320,49400
1321,49400
1322,49400
1323,49400
1324,49400
1325,49400
1326,49400
1327,49400
1328,49400
1329,49400
1330,49400
1331,49400
1332,49400
1333,49400
1334,49400
1335,49400
1336,49400
1337,49400
1338,49400
1339,49400
1340,49400
1341,49400
1342,49400
1343,49400
1344,49400
1345,49400
1346,49400
1347,49400
1348,49400
1349,49400
1350,49400
1351,49400
1352,49400
1353,49400
1354,49400
1355,49400
1356,49400
1357,49400
1358,49400
1359,49400
1360,49400
1361,49400
1362,49400
1363,49400
1364,49400
1365,49400
1366,49400
1367,49400
1368,49400
1369,49400
1370,49400
1371,49400
1372,49400
1373,49400
1374,49400
1375,49400
1376,49400
1377,49400
1378,49400
1379,49400
1380,49400
1381,49400
1382,49400
1383,49400
1384,49400
1385,49400
1386,49400
1387,49400
1388,49400
1389,49400
1390,49400
1391,49400
1392,49400
1393,49400
1394,49400
1395,49400
1396,49400
1397,49400
1398,49400
1399,49400
1400,49400
1401,49400
1402,49400
1403,49400
1404,49400
1405,49400
1406,49400
1407,49400
1408,49400
1409,49400
1410,49400
1411,49400
1412,49400
1413,49400
1414,49400
1415,49400
1416,49400
1417,49400
1418,49400
1419,49400
1420,49400
1421,49400
1422,49400
1423,49400
1424,49400
1425,49400
1426,49400
1427,49400
1428,49400
1429,49400
1430,49400
1431,49400
1432,49400
1433,49400
1434,49400
1435,49400
1436,49400
1437,49400
1438,49400
1439,49400
1440,49400
1441,49400
1442,49400
1443,49400
1444,49400
1445,49400
1446,49400
1447,49400
1448,49400
1449,49400
1450,49400
1451,49400
1452,49400
1453,49400
1454,49400
1455,49400
1456,49400
1457,49400
1458,49400
1459,49400
1460,49400
1461,49400
1462,49400
1463,49400
1464,49400
1465,49400
1466,49400
1467,49400
1468,49400
1469,49400
1470,49400
1471,49400
1472,49400
1473,49400
1474,49400
1475,49400
1476,49400
1477,49400
1478,49400
1479,49400
1480,49400
1481,49400
1482,49400
1483,49400
1484,49400
1485,49400
1486,49400
1487,49400
1488,49400
1489,49400
1490,49400
1491,49400
1492,49400
1493,49400
1494,49400
1495,49400
1496,49400
1497,49400
1498,49400
1499,49400
1500,49400
1501,49400
1502,49400
1503,49400
1504,49400
1505,49400
1506,49400
1507,49400
1508,49400
1509,49400
1510,49400
1511,49400
1512,49400
1513,49400
1514,49400
1515,49400
1516,49400
1517,49400
1518,49400
1519,49400
1520,49400
1521,49400
1522,49400
1523,49400
1524,49400
1525,49400
1526,49400
1527,49400
1528,49400
1529,49400
1530,49400
1531,49400
1532,49400
1533,49400
1534,49400
1535,49400
1536,49400
1537,49400
1538,49400
1539,49400
1540,49400
1541,49400
1542,49400
1543,49400
1544,49400
1545,49400
1546,49400
1547,49400
1548,49400
1549,49400
1550,49400
1551,49400
1552,49400
1553,49400
1554,49400
1555,49400
1556,49400
1557,49400
1558,49400
1559,49400
1560,49400
1561,49400
1562,49400
1563,49400
1564,49400
1565,49400
1566,49400
1567,49400
1568,49400
1569,49400
1570,49400
1571,49400
1572,49400
1573,49400
1574,49400
1575,49400
1576,49400
1577,49400
1578,49400
1579,49400
1580,49400
1581,49400
1582,49400
1583,49400
1584,49400
1585,49400
1586,49400
1587,49400
1588,49400
1589,49400
1590,49400
1591,49400
1592,49400
1593,49400
1594,49400
1595,49400
1596,49400
1597,49400
1598,49400
1599,49400
1600,49400
1601,49400
1602,49400
1603,49400
1604,49400
1605,49400
1606,49400
1607,49400
1608,49400
1609,49400
1610,49400
1611,49400
1612,49400
1613,49400
1614,49400
1615,49400
1616,49400
1617,49400
1618,49400
1619,49400
1620,49400
1621,49400
1622,49400
1623,49400
1624,49400
1625,49400
1626,49400
1627,49400
1628,49400
1629,49400
1630,49400
1631,49400
1632,49400
1633,49400
1634,49400
1635,49400
1636,49400
1637,49400
1638,49400
1639,49400
1640,49400
1641,49400
1642,49400
1643,49400
1644,49400
1645,49400
1646,49400
1647,49400
1648,49400
1649,49400
1650,49400
1651,49400
1652,49400
1653,49400
1654,49400
1655,49400
1656,49400
1657,49400
1658,49400
1659,49400
1660,49400
1661,49400
1662,49400
1663,49400
1664,49400
1665,49400
1666,49400
1667,49400
1668,49400
1669,49400
1670,49400
1671,49400
1672,49400
1673,49400
1674,49400
1675,49400
1676,49400
1677,49400
1678,49400
1679,49400
1680,49400
1681,49400
1682,49400
1683,49400
1684,49400
1685,49400
1686,49400
1687,49400
1688,49400
1689,49400
1690,49400
1691,49400
1692,49400
1693,49400
1694,49400
1695,49400
1696,49400
1697,49400
1698,49400
1699,49400
1700,49400
1701,49400
1702,49400
1703,49400
1704,49400
1705,49400
1706,49400
1707,49400
1708,49400
1709,49400
1710,49400
1711,49400
1712,49400
1713,49400
1714,49400
1715,49400
1716,49400
1717,49400
1718,49400
1719,49400
1720,49400
1721,49400
1722,49400
1723,49400
1724,49400
1725,49400
1726,49400
1727,49400
1728,49400
1729,49400
1730,49400
1731,49400
1732,49400
1733,49400
1734,49400
1735,49400
1736,49400
1737,49400
1738,49400
1739,49400
1740,49400
1741,49400
1742,49400
1743,49400
1744,49400
1745,49400
1746,49400
1747,49400
1748,49400
1749,49400
1750,49400
1751,49400
1752,49400
1753,49400
1754,49400
1755,49400
1756,49400
1757,49400
1758,49400
1759,49400
1760,49400
1761,49400
1762,49400
1763,49400
1764,49400
1765,49400
